divisions,rectangle,divisions,trapezoid
1,0.000000000000000,1,2.000000000000000
2,1.732050807568877,2,2.732050807568877
3,2.250886712109324,3,2.917553378775991
4,2.495709068102440,4,2.995709068102440
5,2.637048828883552,5,3.037048828883552
6,2.728649688961512,6,3.061983022294845
7,2.792657623728981,7,3.078371909443267
8,2.839819144357174,8,3.089819144357173
9,2.875963160547442,9,3.098185382769664
10,2.904518326248318,10,3.104518326248318
11,2.927630123634406,11,3.109448305452588
12,2.946708252749501,12,3.113374919416168
13,2.962716322285953,13,3.116562476132107
14,2.976334906025002,14,3.119192048882145
15,2.988058079142236,15,3.121391412475570
16,2.998253037827741,16,3.123253037827741
17,3.007198263969624,17,3.124845322793153
18,3.015108720909860,18,3.126219832020972
19,3.022152939361652,19,3.127416097256388
20,3.028464879754982,20,3.128464879754982
21,3.034152341316395,21,3.129390436554490
22,3.039303034876168,22,3.130212125785258
23,3.043989042139818,23,3.130945563878948
24,3.048270139715067,24,3.131603473048400
25,3.052196310902997,25,3.132196310902996
26,3.055809667437793,26,3.132732744360869
27,3.059145936582232,27,3.133220010656307
28,3.062235623951528,28,3.133664195380101
29,3.065104931560175,29,3.134070448801553
30,3.067776489090468,30,3.134443155757134
31,3.070269941205671,31,3.134786070237930
32,3.072602422877131,32,3.135102422877131
33,3.074788946838330,33,3.135395007444391
34,3.076842721527999,34,3.135666250939764
35,3.078775413630731,35,3.135918270773587
36,3.080597366146286,36,3.136152921701843
37,3.082317780523908,37,3.136371834577962
38,3.083944869577030,38,3.136576448524397
39,3.085485986498312,39,3.136768037780362
40,3.086947734217011,40,3.136947734217011
41,3.088336058502357,41,3.137116546307234
42,3.089656327559944,42,3.137275375178992
43,3.090913400350578,43,3.137425028257555
44,3.092111685450565,44,3.137566230905109
45,3.093255191944916,45,3.137699636389361
46,3.094347573582437,46,3.137825834452003
47,3.095392167209781,47,3.137945358699143
48,3.096392026330016,48,3.138058692996684
49,3.097349950491490,49,3.138166277022103
50,3.098268511098500,50,3.138268511098500
51,3.099150074141332,51,3.138365760415841
52,3.099996820265821,52,3.138458358727360
53,3.100810762538368,53,3.138546611594972
54,3.101593762208992,54,3.138630799246031
55,3.102347542730512,55,3.138711179094149
56,3.103073702254589,56,3.138787987968875
57,3.103773724794074,57,3.138861444092320
58,3.104448990214626,58,3.138931748835317
59,3.105100783196274,59,3.138999088281020
60,3.105730301286535,60,3.139063634619867
61,3.106338662150696,61,3.139125547396596
62,3.106926910110931,62,3.139184974627061
63,3.107496022054347,63,3.139242053800380
64,3.108046912779686,64,3.139296912779685
65,3.108580439843982,65,3.139349670613214
66,3.109097407962803,66,3.139400438265834
67,3.109598573011242,67,3.139449319279900
68,3.110084645667297,68,3.139496410373181
69,3.110556294734324,69,3.139541801980700
70,3.111014150175029,70,3.139585578746456
71,3.111458805885774,71,3.139627819970280
72,3.111890822236765,72,3.139668600014542
73,3.112310728400770,73,3.139707988674743
74,3.112719024490671,74,3.139746051517697
75,3.113116183523848,75,3.139782850190513
76,3.113502653229538,76,3.139818442703223
77,3.113878857713638,77,3.139852883687662
78,3.114245198993818,78,3.139886224634843
79,3.114602058416655,79,3.139918514112856
80,3.114949797967143,80,3.139949797967141
81,3.115288761480048,81,3.139980119504740
82,3.115619275761533,82,3.140009519663970
83,3.115941651628729,83,3.140038037170897
84,3.116256184874170,84,3.140065708683695
85,3.116563157161321,85,3.140092568926028
86,3.116862836856894,86,3.140118650810381
87,3.117155479805069,87,3.140143985552193
88,3.117441330048329,88,3.140168602775599
89,3.117720620499104,89,3.140192530611465
90,3.117993573566142,90,3.140215795788365
91,3.118260401739063,91,3.140238423717086
92,3.118521308134391,92,3.140260438569174
93,3.118776487005920,93,3.140281863350006
94,3.119026124222142,94,3.140302719966823
95,3.119270397713184,95,3.140323029292131
96,3.119509477889474,96,3.140342811222808
97,3.119743528034237,97,3.140362084735268
98,3.119972704671676,98,3.140380867936984
99,3.120197157912594,99,3.140399178114615
100,3.120417031779047,100,3.140417031779045
